Age,Address,Gender,UserType,Label,Total_Quantity,Total_Value,StDev_Quantity,StDev_Value,AvgTimeDelta,Recency,Unique_TransactionId,Unique_ItemId,Unique_Location,Unique_ProductCategory,Total_Quantity_per_Unique_TransactionId,Total_Quantity_per_Unique_ItemId,Total_Quantity_per_Unique_Location,Total_Quantity_per_Unique_ProductCategory,Total_Value_per_Unique_TransactionId,Total_Value_per_Unique_ItemId,Total_Value_per_Unique_Location,Total_Value_per_Unique_ProductCategory,Scored Labels,Scored Probabilities
D,E,Unknown,Unknown,Nonchurner,18,1062,0.506369683541833,38.0972103427198,0.0,60,13,10,1,1,1.28571428571429,1.63636363636364,9.0,9.0,75.8571428571429,96.5454545454545,531.0,531.0,Churner,0.25201490351407174
B,C,Unknown,Unknown,Churner,5,795,0.5,119.817569663218,0.0,87,4,3,1,1,1.0,1.25,2.5,2.5,159.0,198.75,397.5,397.5,Churner,0.1583746260226553
G,F,Unknown,Unknown,Nonchurner,14,1200,0.467099366496914,127.727408605557,5.81818181818182,0,11,8,1,1,1.16666666666667,1.55555555555556,7.0,7.0,100.0,133.333333333333,600.0,600.0,Churner,0.47431974126007187
F,F,Unknown,Unknown,Nonchurner,156,16763,0.491425435906823,145.887727207615,0.712121212121212,2,132,58,1,1,1.17293233082707,2.64406779661017,78.0,78.0,126.037593984962,284.118644067797,8381.5,8381.5,Nonchurner,0.8930011380866316
A,F,Unknown,Unknown,Nonchurner,55,3556,1.33473315874073,114.025590522995,1.74285714285714,22,35,23,1,1,1.52777777777778,2.29166666666667,27.5,27.5,98.7777777777778,148.166666666667,1778.0,1778.0,Nonchurner,0.5281710294713663
A,E,Unknown,Unknown,Churner,1,899,0.0,0.0,0.0,43,1,1,1,1,0.5,0.5,0.5,0.5,449.5,449.5,449.5,449.5,Churner,0.20953242673414044
D,D,Unknown,Unknown,Churner,49,24527,0.733362470283633,561.016928649011,2.25,7,40,14,1,1,1.19512195121951,3.26666666666667,24.5,24.5,598.219512195122,1635.13333333333,12263.5,12263.5,Churner,0.36721984489104914
F,F,Unknown,Unknown,Nonchurner,46,3983,0.925124778533067,78.2940384477417,0.756756756756757,38,37,27,1,1,1.21052631578947,1.64285714285714,23.0,23.0,104.815789473684,142.25,1991.5,1991.5,Churner,0.46480504948993884
F,E,Unknown,Unknown,Churner,11,314,2.16794833886788,53.6907813316215,18.0,5,5,4,1,1,1.83333333333333,2.2,5.5,5.5,52.3333333333333,62.8,157.0,157.0,Nonchurner,0.6736975964999524
C,D,Unknown,Unknown,Churner,5,765,0.0,73.7495762699692,0.0,27,5,5,1,1,0.833333333333333,0.833333333333333,2.5,2.5,127.5,127.5,382.5,382.5,Churner,0.2647646733694125
B,G,Unknown,Unknown,Churner,2,350,0.0,0.0,0.0,30,1,1,1,1,1.0,1.0,1.0,1.0,175.0,175.0,175.0,175.0,Churner,0.23685772892711593
